index,url,Muscle,Video,Main Muscle Group,Detailed Muscle Group,Type,Mechanics,Equipment,Difficulty
586,https://www.jefit.com/exercises/1141/Dumbbell-One-Arm-Reverse-Fly,https://www.jefit.com/images/exercises/b6.jpg,http://player.vimeo.com/external/160307127.sd.mp4?s=136e64d5c6069967452dcdf303903d708e4fe3c4&profile_id=165&oauth2_token_id=435967617,Shoulders,,Strength,Isolation,Bench,Intermediate
587,https://www.jefit.com/exercises/1129/Dumbbell-One-Arm-Reverse-Fly,https://www.jefit.com/images/exercises/b6.jpg,http://player.vimeo.com/external/160307097.sd.mp4?s=ef2cb11f7f074e2a4e89688d3ec12bb2930888b4&profile_id=165&oauth2_token_id=435967617,Shoulders,,Strength,Isolation,Bench,Intermediate
588,https://www.jefit.com/exercises/1331/Dumbbell-One-Arm-Reverse-Grip-Press,https://www.jefit.com/images/exercises/b3.jpg,http://player.vimeo.com/external/160307421.hd.mp4?s=64c2c4f644d67525be145c35d00566a50d3e4223&profile_id=113&oauth2_token_id=435967617,Chest,,Strength,Compound,Dumbbell,Intermediate
589,https://www.jefit.com/exercises/1079/Dumbbell-One-Arm-Reverse-Preacher-Curl,https://www.jefit.com/images/exercises/b4.jpg,http://player.vimeo.com/external/160307044.hd.mp4?s=efcf86a3abb2a7fa05cabebb99343db31b58cd8b&profile_id=119&oauth2_token_id=435967617,Forearm,,Strength,Isolation,Machine - Strength,Beginner
590,https://www.jefit.com/exercises/1326/Dumbbell-One-Arm-Reverse-Spider-Curl,https://www.jefit.com/images/exercises/b2.jpg,http://player.vimeo.com/external/160307412.hd.mp4?s=93c48815ea9bc9793829acd14b8858eb3d03740b&profile_id=119&oauth2_token_id=435967617,Biceps,,Strength,Compound,Dumbbell,Intermediate
591,https://www.jefit.com/exercises/1083/Dumbbell-One-Arm-Reverse-Wrist-Curl,https://www.jefit.com/images/exercises/b4.jpg,http://player.vimeo.com/external/160281092.sd.mp4?s=3311fb8a795ef852e5f74327a29a85d738e832a2&profile_id=164&oauth2_token_id=435967617,Forearm,,Strength,Isolation,Bench,Beginner
592,https://www.jefit.com/exercises/90/Dumbbell-One-Arm-Row,https://www.jefit.com/images/exercises/b1.jpg,http://player.vimeo.com/external/160273624.hd.mp4?s=a75341ef11f1ce532fc13ae804dfb3f63caf0ead&profile_id=119&oauth2_token_id=435967617,Back,Traps,Strength,Compound,Dumbbell,Beginner
593,https://www.jefit.com/exercises/762/Dumbbell-One-Arm-Row-on-Stability-Ball,https://www.jefit.com/images/exercises/b1.jpg,http://player.vimeo.com/external/160429584.hd.mp4?s=a2506420db728345aa682fd8a9d8ddb4b79875b9&profile_id=119&oauth2_token_id=435967617,Back,,Strength,Compound,Dumbbell,Intermediate
594,https://www.jefit.com/exercises/1023/Dumbbell-One-Arm-Seated-Curl,https://www.jefit.com/images/exercises/b2.jpg,http://player.vimeo.com/external/160306947.sd.mp4?s=15c5f873a60e1a53b5c558bf36ba8393dd2e5779&profile_id=164&oauth2_token_id=435967617,Biceps,,Strength,Isolation,Bench,Beginner
595,https://www.jefit.com/exercises/1024/Dumbbell-One-Arm-Seated-Hammer-Curl,https://www.jefit.com/images/exercises/b2.jpg,http://player.vimeo.com/external/160306902.sd.mp4?s=42016c0f0287d5a1ea0f6eca4cb9f7f0dcab71ac&profile_id=165&oauth2_token_id=435967617,Biceps,,Strength,Isolation,Bench,Beginner
